"","id","latitude","longitude","price","region","neigborhood"
"212",9463444,"42.30918196","-71.1104931",109,"02130","Jamaica Plain"
"213",6465075,"42.29715508","-71.11190356",383,"02130","Jamaica Plain"
"214",8932377,"42.3195109","-71.11460122",90,"02130","Jamaica Plain"
"215",9577988,"42.32243105","-71.11326558",99,"02130","Jamaica Plain"
"216",9971054,"42.30337107","-71.11500731",50,"02130","Jamaica Plain"
"217",7348110,"42.32436434","-71.10262149",300,"02130","Jamaica Plain"
"218",7790454,"42.30881608","-71.1139284",184,"02130","Jamaica Plain"
"219",3021446,"42.31846335","-71.10792705",80,"02130","Jamaica Plain"
"220",7708436,"42.30983835","-71.107524",85,"02130","Egleston Square"
"221",11514237,"42.31190937","-71.10675529",150,"02130","Jamaica Plain"
"222",13363171,"42.31552926","-71.102403",100,"02130","Roslindale"
"223",11946029,"42.32186357","-71.10374748",100,"02130","Jamaica Plain"
"224",6019555,"42.29858047","-71.11026725",84,"02130","Jamaica Plain"
"225",12052288,"42.3162733","-71.10215681",130,"02130","Egleston Square"
"226",9676551,"42.31614913","-71.10503627",76,"02130","Jamaica Plain"
"227",12789527,"42.31218843","-71.10566184",100,"02130","Jamaica Plain"
"228",12855005,"42.3134215","-71.1071186",70,"02130","Jamaica Plain"
"229",1631942,"42.31131397","-71.11617069",125,"02130","Roxbury"
"230",2884903,"42.30557708","-71.11367642",70,"02119","Jamaica Plain"
"231",14868157,"42.31605229","-71.09932134",75,"02130","Jamaica Plain"
"232",13344433,"42.30637132","-71.11350717",170,"02130","Jamaica Plain"
"233",40601,"42.31509939","-71.11107897",95,"02130","Jamaica Plain"
"234",12033661,"42.3064969","-71.1116203",70,"02130","Jamaica Plain"
"235",6298216,"42.31922662","-71.1088689",299,"02130","Jamaica Hills / Pond"
"236",12868343,"42.30361487","-71.12921449",70,"02130","Jamaica Plain"
"237",14474750,"42.31179032","-71.12132703",155,"02130","Jamaica Plain"
"238",6921672,"42.32133487","-71.1077732",250,"02130","Jamaica Plain"
"239",2219399,"42.30073404","-71.11431097",115,"02130","Roslindale"
"240",336960,"42.28965255","-71.11472079",70,"02131","Jamaica Plain"
"241",336946,"42.28825811","-71.11306692",135,"02130","Jamaica Plain"
"242",6644330,"42.31214692","-71.10890828",120,"02130","Jamaica Plain"
